Sig_Gene	Cell_type	Level	Rank	Mean	Std	Cell_type_unseparated
Mfge8	Peri	0	69	1.2142809927185096	1.5342943369970594	
Aspn	Peri	0	70	0.9642663269395895	1.220160191876049	
Gm16833	Peri	0	71	0.8073544015347933	1.0325155217257938	
Tbx2	Peri	0	72	0.7542248373595477	0.9653423478188256	
Mrc2	Peri	0	73	0.9118988724031581	1.1700538547804238	
Gm26632	Peri	0	74	1.0658025650003422	1.3706614435908755	
Cphx3	Peri	0	75	0.8004795099439584	1.0477070738620402	
Cdk6	Peri	0	76	0.898200525770114	1.1935790543679432	
Naalad2	Peri	0	77	0.6422171281747177	0.855153868730161	
Pla2r1	Peri	0	78	0.7050347183660015	0.9388260424302729	
Pde4c	Peri	0	79	0.5630963519897462	0.7498949248174684	
Mgp	Peri	0	80	2.4542093341932114	3.3416375759283894	
Nbl1	Peri	0	81	0.7807936017230243	1.0711600294563908	
Cpm	Peri	0	82	0.6809459695980435	0.9364855132356401	
Eva1b	Peri	0	83	0.7056314613008712	0.9787813946418263	
Tgfb1i1	Peri	0	84	0.4848140485097599	0.6835174620648211	
Spaar	Peri	0	85	0.7016957304048174	0.9930671075128862	
Tfpi	Peri	0	86	0.7153798099980445	1.0130523363806232	
Fam107b	Peri	0	87	0.8914472681563482	1.2628541687686619	
Plekhg2	Peri	0	88	0.515034675194883	0.7322828943927261	
Tbx15	Peri	0	89	0.7774006868014429	1.1056638493039954	
Itgb5	Peri	0	90	0.6904745981599012	0.9887198689060304	
Bicc1	Peri	0	91	0.9999628567769685	1.433306861798085	
Ston1	Peri	0	92	0.5657363341332207	0.8286055702941002	
S1pr3	Peri	0	93	0.5927402528715454	0.8736398021821448	
Nr1h3	Peri	0	94	0.5061526943497752	0.7496650195422954	
Perp	Peri	0	95	0.7012141162405549	1.0559731885520547	
Sod3	Peri	0	96	0.7192287908398824	1.0859530770786483	
Vstm4	Peri	0	97	0.41625406608943205	0.6421026710141313	
Ggta1	Peri	0	98	0.49861220139644463	0.7751102024469797	
Ifitm1	Peri	0	99	0.7602027336072709	1.2065315195587705	
Atp2a3	Peri	0	100	0.6516834107583133	1.038749664202381	
Ddit4l	Peri	0	101	0.5412384137662313	0.866728387745528	
Apobec1	Peri	0	102	0.5025899023151613	0.8067716701549871	
